database_name	Lipid Maps																																																																																																																			
database_version	6/12/2016																																																																																																																			
142.135765	C9H18O	LM:LMFA05000120	LM:LMFA05000121	LM:LMFA05000131	LM:LMFA05000133	LM:LMFA05000134	LM:LMFA05000135	LM:LMFA05000495	LM:LMFA05000496	LM:LMFA05000504	LM:LMFA05000506	LM:LMFA05000559	LM:LMFA05000570	LM:LMFA05000609	LM:LMFA06000040	LM:LMFA12000052	LM:LMFA12000053	LM:LMFA12000101	LM:LMFA12000124	LM:LMFA12000126	LM:LMFA12000128	LM:LMFA12000129	LM:LMFA12000130	LM:LMFA12000148																																																																																												
142.17215	C10H22	LM:LMFA11000568	LM:LMFA11000602	LM:LMFA11000605	LM:LMFA11000609	LM:LMFA11000615	LM:LMFA11000617	LM:LMFA11000618	LM:LMFA11000619	LM:LMFA11000621	LM:LMFA11000622	LM:LMFA11000687	LM:LMFA11000688	LM:LMFA11000697																																																																																																						
143.021858	C5H5NO4	LM:LMFA08020194																																																																																																																		
144.042259	C6H8O4	LM:LMFA01020394	LM:LMFA07010876																																																																																																																	
144.04226	C6H8O4	LM:LMFA01170068	LM:LMFA01170070	LM:LMFA01170079	LM:LMFA01170087																																																																																																															
144.057515	C10H8O	LM:LMFA05000569	LM:LMFA06000062																																																																																																																	
144.078644	C7H12O3	LM:LMFA07010921	LM:LMFA07010933																																																																																																																	
144.078645	C7H12O3	LM:LMFA01060011	LM:LMFA01060012	LM:LMFA01060013	LM:LMFA01060014	LM:LMFA01060015	LM:LMFA07040002																																																																																																													
144.09	C6H12N2O2	LM:LMFA08010017																																																																																																																		
144.11503	C8H16O2	LM:LMFA01010008	LM:LMFA01020087	LM:LMFA01020147	LM:LMFA01020148	LM:LMFA01020149	LM:LMFA01020150	LM:LMFA01020151	LM:LMFA01020242	LM:LMFA01020283	LM:LMFA01020291	LM:LMFA01020391	LM:LMFA05000556	LM:LMFA05000602	LM:LMFA05000623	LM:LMFA07010184	LM:LMFA07010418	LM:LMFA07010434	LM:LMFA07010566	LM:LMFA07010573	LM:LMFA07010728	LM:LMFA07010854	LM:LMFA07010860	LM:LMFA07010864	LM:LMFA07010869	LM:LMFA07010920	LM:LMFA07010922	LM:LMFA07010957	LM:LMFA07010961	LM:LMFA07011003	LM:LMFA07011005	LM:LMFA12000093	LM:LMFA12000099	LM:LMFA12000119	LM:LMFA12000120	LM:LMFA12000123	LM:LMFA12000125																																																																															
144.151415	C9H20O	LM:LMFA05000092	LM:LMFA05000129	LM:LMFA05000485	LM:LMFA05000486	LM:LMFA05000487	LM:LMFA05000489	LM:LMFA05000491	LM:LMFA05000494	LM:LMFA05000500	LM:LMFA05000503	LM:LMFA05000507	LM:LMFA05000508	LM:LMFA05000619	LM:LMFA05000625																																																																																																					
145.073894	C6H11NO3	LM:LMFA01060173																																																																																																																		
145.110279	C7H15NO2	LM:LMFA01100013	LM:LMFA01100014	LM:LMFA01100015																																																																																																																
146.057909	C6H10O4	LM:LMFA01050457	LM:LMFA01050458	LM:LMFA01050462	LM:LMFA01050501																																																																																																															
146.05791	C6H10O4	LM:LMFA01020278	LM:LMFA01050343	LM:LMFA01050383	LM:LMFA01050435	LM:LMFA01170048	LM:LMFA01170080	LM:LMFA01170084	LM:LMFA01170117																																																																																																											
146.094294	C7H14O3	LM:LMFA07010693	LM:LMFA07010959																																																																																																																	
146.094295	C7H14O3	LM:LMFA01050016	LM:LMFA01050017	LM:LMFA01050018	LM:LMFA01050019	LM:LMFA01050225	LM:LMFA01050261																																																																																																													
146.13068	C8H18O2	LM:LMFA05000089	LM:LMFA05000548	LM:LMFA05000552	LM:LMFA05000564	LM:LMFA05000683																																																																																																														
147.089543	C6H13NO3	LM:LMFA01050440																																																																																																																		
148.00079	C4H4O6	LM:LMFA01060194																																																																																																																		
148.019418	C5H8O3S	LM:LMFA01060170																																																																																																																		
148.037173	C5H8O5	LM:LMFA01050474	LM:LMFA01050476	LM:LMFA01050483																																																																																																																
148.0558	C6H12O2S	LM:LMFA07010863	LM:LMFA07010938	LM:LMFA07010947	LM:LMFA07010952	LM:LMFA07010968																																																																																																														
148.073559	C6H12O4	LM:LMFA01050452	LM:LMFA01050469																																																																																																																	
148.07356	C6H12O4	LM:LMFA01050352																																																																																																																		
148.088815	C10H12O	LM:LMFA06000061																																																																																																																		
148.109944	C7H16O3	LM:LMFA05000549	LM:LMFA05000665																																																																																																																	
149.93164	C3H3BrO2	LM:LMFA01090075																																																																																																																		
150.035065	C5H10O3S	LM:LMFA01050480																																																																																																																		
150.052823	C5H10O5	LM:LMFA01050477																																																																																																																		
150.052825	C5H10O5	LM:LMFA01050386																																																																																																																		
150.104465	C10H14O	LM:LMFA05000629	LM:LMFA06000060	LM:LMPR0102080001	LM:LMPR0102090007	LM:LMPR0102090009	LM:LMPR0102090010	LM:LMPR0102090017	LM:LMPR0102090020	LM:LMPR0102090023	LM:LMPR0102090029	LM:LMPR0102090056	LM:LMPR0102120023	LM:LMPR0102120049																																																																																																						
150.14085	C11H18	LM:LMFA11000037	LM:LMFA11000050																																																																																																																	
152.047344	C8H8O3	LM:LMFA07010960																																																																																																																		
152.047345	C8H8O3	LM:LMPK13010002																																																																																																																		
152.08373	C9H12O2	LM:LMFA07010740	LM:LMFA07040019																																																																																																																	
152.120115	C10H16O	LM:LMFA05000123	LM:LMFA06000057	LM:LMFA06000058	LM:LMFA06000059	LM:LMFA06000143	LM:LMFA06000146	LM:LMFA12000151	LM:LMPR0102010003	LM:LMPR0102010006	LM:LMPR0102010025	LM:LMPR0102010026	LM:LMPR0102010027	LM:LMPR0102020001	LM:LMPR0102060020	LM:LMPR0102060021	LM:LMPR0102060023	LM:LMPR0102090005	LM:LMPR0102090006	LM:LMPR0102090008	LM:LMPR0102090015	LM:LMPR0102090024	LM:LMPR0102090025	LM:LMPR0102090030	LM:LMPR0102090033	LM:LMPR0102090036	LM:LMPR0102090037	LM:LMPR0102090039	LM:LMPR0102090043	LM:LMPR0102090048	LM:LMPR0102100001	LM:LMPR0102120001	LM:LMPR0102120007	LM:LMPR0102120016	LM:LMPR0102120019	LM:LMPR0102120022	LM:LMPR0102120025	LM:LMPR0102120031	LM:LMPR0102120039	LM:LMPR0102120040																																																																												
152.1565	C11H20	LM:LMFA11000061	LM:LMFA11000425																																																																																																																	
154.09938	C9H14O2	LM:LMFA01030447	LM:LMFA01030448	LM:LMFA01030449	LM:LMFA01030450	LM:LMFA01030504	LM:LMFA01030505	LM:LMFA01030506	LM:LMFA01030507	LM:LMFA01030508	LM:LMFA01030509	LM:LMFA06000254	LM:LMFA07010777	LM:LMFA07010945	LM:LMFA07040018	LM:LMFA07040020	LM:LMFA12000242	LM:LMFA12000243																																																																																																		
